match_id,gold_diff,xp_diff,cs_diff,kills_diff,tower_diff,gold_diff_top,xp_diff_top,cs_diff_top,gold_diff_jungle,xp_diff_jungle,cs_diff_jungle,gold_diff_mid,xp_diff_mid,cs_diff_mid,gold_diff_adc,xp_diff_adc,cs_diff_adc,gold_diff_support,xp_diff_support,cs_diff_support,blue_dragons,red_dragons,blue_voidgrubs,red_voidgrubs,blue_plates,red_plates,plates_diff,first_blood,blue_avg_champion_wr,red_avg_champion_wr,synergy_diff,blue_has_duo,red_has_duo,blue_duo_impact,red_duo_impact,duo_impact_diff,blue_wins
BR1_3224174796,-1561,-812,-37,-4,0,-1330,-848,-30,567,-181,-10,-65,308,-7,-611,54,12,-122,-145,-2,0,0,2,1,0,0,0,1,0.46673847345989933,0.5482653361963706,-0.0815268627364713,1,1,-0.06392857142857145,0.28942307692307695,-0.3533516483516484,0
BR1_3224180934,-432,686,6,0,0,667,782,6,-1890,-799,-8,524,629,2,171,258,11,96,-184,-5,0,1,0,3,0,0,0,0,0.47424586262246093,0.498249742002064,-0.024003879379603077,1,1,-0.15178571428571425,0.21396396396396394,-0.3657496782496782,0
BR1_3224188257,-531,-203,-20,-2,0,210,385,0,541,-198,-12,-11,-87,13,-1142,-554,-24,-129,251,3,0,1,3,0,0,0,0,1,0.45403729730105435,0.5419047619047619,-0.08786746460370753,1,1,-0.44886363636363635,-0.04188116688116689,-0.40698246948246947,0
BR1_3224331430,-5810,-4871,-80,-11,0,-1183,-1236,-22,-447,-1486,-21,-1138,-515,-21,-1716,-1122,-14,-1326,-512,-2,0,1,0,0,0,0,0,1,0.5579824561403509,0.5151054948679887,0.04287696127236218,1,1,-0.19135739991003145,-0.125,-0.06635739991003145,0
BR1_3224347978,510,-648,2,3,0,329,845,1,-532,116,7,-236,-697,-8,255,-319,4,694,-593,-2,0,1,3,0,0,0,0,1,0.6760891570303336,0.46115705931495404,0.21493209771537952,0,1,0.0,-0.05026315789473679,0.05026315789473679,1
BR1_3224364801,-301,-1721,-20,0,0,885,-201,17,475,-210,-4,-298,-445,-8,-1208,-454,-33,-155,-411,8,0,1,0,0,0,0,0,1,0.5067808676307008,0.5060492139439507,0.0007316536867501,1,1,0.2227954971857411,-0.035714285714285754,0.25850978290002685,0
BR1_3224384004,-1481,-1696,15,-4,0,-515,-609,3,277,-99,3,195,-143,3,-585,-698,5,-853,-147,1,0,0,0,3,0,0,0,1,0.46909419662607965,0.4878787878787879,-0.01878459125270826,1,1,-0.05351851851851852,0.3045576374844668,-0.3580761560029853,0
BR1_3224399524,-836,-1249,-15,-1,0,-389,-200,-6,-447,-482,5,-531,-360,-12,381,-152,-5,150,-55,3,1,0,0,0,0,0,0,1,0.41422344322344323,0.509962545403085,-0.09573910217964182,1,1,-0.1316343669250646,0.23362637362637362,-0.3652607405514382,0
BR1_3224418971,830,331,2,1,0,194,-93,12,-76,165,10,-344,-330,-15,601,442,-5,455,147,0,1,0,0,2,0,0,0,0,0.4487770562770563,0.5571175950486296,-0.10834053877157329,1,1,-0.1417165490336222,0.25622772497772495,-0.39794427401134713,0
BR1_3224422863,1388,683,24,2,0,-172,-729,-10,589,529,8,664,254,16,-417,829,17,724,-200,-7,0,0,0,0,0,0,0,1,0.4608808933002481,0.4439024115393284,0.016978481760919706,0,1,0.0,0.42500000000000004,-0.42500000000000004,0
BR1_3224441461,-1467,-623,-15,-2,0,-363,277,-10,-1056,-911,-13,941,259,12,-632,10,-8,-357,-258,4,0,1,3,0,0,0,0,1,0.4788697318007663,0.5900583409057985,-0.11118860910503214,1,1,-0.2740384615384615,0.053952031262955634,-0.3279904928014171,0
BR1_3224447950,1643,1598,35,2,0,497,407,12,-85,-198,7,440,572,9,341,157,-1,450,660,8,0,1,1,0,0,0,0,0,0.4377929136566907,0.5173992673992673,-0.07960635374257663,0,1,0.0,-0.17055555555555557,0.17055555555555557,0
BR1_3224461289,-2012,-1360,-56,-2,0,-1679,-1180,-47,-208,1279,28,173,-414,-19,-30,-79,-4,-268,-966,-14,0,0,3,0,0,0,0,1,0.5817847138855542,0.49245797339914993,0.08932674048640427,1,1,0.0357142857142857,0.4730158730158731,-0.4373015873015874,0
BR1_3224471294,-4063,-2492,-34,-7,0,-1017,-1259,-13,-1034,-757,-10,-2026,-891,-6,-174,314,-2,188,101,-3,0,1,0,3,0,0,0,1,0.48691800043191813,0.48007002801120446,0.006847972420713666,1,1,-0.2731190106190106,-0.03030130971307446,-0.24281770090593616,0
BR1_3224473648,-3558,-2235,-82,-3,0,-1168,-772,-41,-249,-166,-1,-1347,-786,-29,-734,-380,-3,-60,-131,-8,0,0,0,3,0,0,0,0,0.4949670329670329,0.48966743494213716,0.005299598024895769,1,0,-0.27196608946608947,0.0,-0.27196608946608947,0
BR1_3224491555,-2216,-1894,-61,-2,0,1171,609,18,-1310,-670,-23,226,123,-2,-1755,-850,-46,-548,-1106,-8,0,0,3,0,0,0,0,1,0.5306161557740505,0.5373626373626375,-0.006746481588586928,1,1,0.3443223443223443,-0.12666666666666665,0.47098901098901097,1
