"match_id","gold_diff","xp_diff","cs_diff","kills_diff","gold_diff_top","xp_diff_top","cs_diff_top","gold_diff_jungle","xp_diff_jungle","cs_diff_jungle","gold_diff_mid","xp_diff_mid","cs_diff_mid","gold_diff_adc","xp_diff_adc","cs_diff_adc","gold_diff_support","xp_diff_support","cs_diff_support","blue_dragons","red_dragons","blue_voidgrubs","red_voidgrubs","first_blood","blue_avg_champion_wr","red_avg_champion_wr","synergy_diff","blue_has_duo","red_has_duo","blue_duo_impact","red_duo_impact","duo_impact_diff","blue_wins","resultado"
"BR1_3224159067",4350,1949,34,7,52,157,-27,775,-231,0,852,666,31,1617,876,30,1054,481,0,0,0,3,0,1,0.504710284375433,0.50094575633989,0.00376452803554317,1,1,0.26521164021164,-0.057397504456328,0.322609144667968,1,"Azul vence"
"BR1_3224168857",2865,2871,72,4,1043,1141,17,1105,959,23,1421,466,19,-327,362,12,-377,-57,1,1,0,3,0,1,0.495899586596011,0.49929696367325,-0.00339737707723903,1,1,0.45726273456856,-0.1875,0.64476273456856,1,"Azul vence"
"BR1_3224170412",2546,1550,-1,5,1101,403,39,-333,272,-8,959,-36,-13,455,360,-16,364,551,-3,1,0,0,0,1,0.502337795418727,0.486009733395823,0.0163280620229038,0,1,0,-0.278080808080808,0.278080808080808,1,"Azul vence"
"BR1_3224174796",-1561,-812,-37,-4,-1330,-848,-30,567,-181,-10,-65,308,-7,-611,54,12,-122,-145,-2,0,0,2,1,1,0.510888982540913,0.514092568746011,-0.00320358620509786,1,1,-0.102328431372549,0.236678841184655,-0.339007272557204,0,"Vermelho vence"
"BR1_3224180934",-432,686,6,0,667,782,6,-1890,-799,-8,524,629,2,171,258,11,96,-184,-5,0,1,0,3,0,0.518743000693316,0.513323558219018,0.00541944247429804,1,1,-0.11,0.280630630630631,-0.390630630630631,0,"Vermelho vence"
"BR1_3224188257",-531,-203,-20,-2,210,385,0,541,-198,-12,-11,-87,13,-1142,-554,-24,-129,251,3,0,1,3,0,1,0.476718992730425,0.516923432297271,-0.0402044395668457,1,1,-0.477822580645161,0.0481981981981982,-0.52602077884336,0,"Vermelho vence"
"BR1_3224331430",-5810,-4871,-80,-11,-1183,-1236,-22,-447,-1486,-21,-1138,-515,-21,-1716,-1122,-14,-1326,-512,-2,0,1,0,0,1,0.472776072284542,0.499174761238469,-0.0263986889539269,1,1,-0.214224463402095,-0.0250626566416041,-0.189161806760491,0,"Vermelho vence"
"BR1_3224347978",510,-648,2,3,329,845,1,-532,116,7,-236,-697,-8,255,-319,4,694,-593,-2,0,1,3,0,1,0.519312092492535,0.470928339616531,0.0483837528760043,0,1,0,-0.0930182599355532,0.0930182599355532,1,"Azul vence"
"BR1_3224364801",-301,-1721,-20,0,885,-201,17,475,-210,-4,-298,-445,-8,-1208,-454,-33,-155,-411,8,0,1,0,0,1,0.460644888515928,0.508157572454133,-0.0475126839382047,1,1,0.186402180496669,0.00649350649350647,0.179908674003162,0,"Vermelho vence"
"BR1_3224384004",-1481,-1696,15,-4,-515,-609,3,277,-99,3,195,-143,3,-585,-698,5,-853,-147,1,0,0,0,3,1,0.371722753978263,0.541499023735864,-0.169776269757602,1,1,-0.0779199558611324,0.261346447264512,-0.339266403125644,0,"Vermelho vence"
